case_id,trace_id,tier,ok,capture_status,pre_rtc_reason,eot_to_first_audio_ms,tts_first_to_publish_ms,fast_lane_ttft_ms,inter_arrival_p95_ms,reply_rms,reply_dropout_count,reply_max_gap_ms,reply_audible_dropout_count,reply_micro_gap_count,full_rms,full_max_gap_ms,clipping_ratio,mel_distance,pre_rtc_wav,reply_wav,n_speech_islands,peak_spike_count,peak_derivative_max,duration_diff_ms,samples_expected,samples_actual,drift_ratio,hf_ratio,hf_ratio_drop,input_spike_count,input_peak_deriv_max,input_max_abs_peak,expected_silence_coverage,duration_s,probe_wav
endpoint_short_hello,20260216_071946-endpoint_short_hello-turn-000,P0,True,OK,,15.7,0.2,,20.7,0.038096,1,140.0,0,1,0.033836,220.0,0.0,14.1991,output/autortc/20260216_071946/endpoint_short_hello/pre_rtc.wav,output/autortc/20260216_071946/endpoint_short_hello/post_rtc_reply.wav,1,0,0.2455,1000.0,76800,100800,1.3125,0.011733,0.015806,0,0.3701,0.2129,-1.0,4.2,output/autortc/20260216_071946/endpoint_short_hello_agent.wav
endpoint_fast_speech,20260216_071946-endpoint_fast_speech-turn-001,P0,True,OK,,1.2,0.2,51.7,20.6,0.042606,2,120.0,0,2,0.029492,220.0,0.0,11.1361,output/autortc/20260216_071946/endpoint_fast_speech/pre_rtc.wav,output/autortc/20260216_071946/endpoint_fast_speech/post_rtc_reply.wav,1,0,0.2101,760.0,72960,54720,0.75,0.005465,0.003031,0,0.3085,0.334,-1.0,2.28,output/autortc/20260216_071946/endpoint_fast_speech_agent.wav
endpoint_long_sentence,20260216_071946-endpoint_long_sentence-turn-002,P0,True,OK,,14.2,,,20.7,0.014024,0,0.0,0,0,0.017259,0.0,0.0,18.1536,output/autortc/20260216_071946/endpoint_long_sentence/pre_rtc.wav,output/autortc/20260216_071946/endpoint_long_sentence/post_rtc_reply.wav,1,0,0.1626,6180.0,44160,192480,4.3587,0.004314,0.040854,0,0.3701,0.2129,-1.0,8.02,output/autortc/20260216_071946/endpoint_long_sentence_agent.wav
endpoint_low_volume_like,20260216_071946-endpoint_low_volume_like-turn-003,P0,True,OK,,19.1,0.2,71.6,20.7,0.042875,0,0.0,0,0,0.028386,120.0,0.0,14.3666,output/autortc/20260216_071946/endpoint_low_volume_like/pre_rtc.wav,output/autortc/20260216_071946/endpoint_low_volume_like/post_rtc_reply.wav,2,0,0.1553,840.0,101760,81600,0.8019,0.007265,0.008242,0,0.3085,0.334,-1.0,3.4,output/autortc/20260216_071946/endpoint_low_volume_like_agent.wav
interrupt_once,20260216_071946-interrupt_once-turn-004,P0,True,OK,,4.2,0.2,,20.7,0.0339,2,220.0,0,2,0.031756,220.0,0.0,9.504,output/autortc/20260216_071946/interrupt_once/pre_rtc.wav,output/autortc/20260216_071946/interrupt_once/post_rtc_reply.wav,1,0,0.1414,1800.0,94080,137280,1.4592,0.046302,0.02415,0,0.3701,0.2129,-1.0,5.72,output/autortc/20260216_071946/interrupt_once_agent.wav
interrupt_twice,20260216_071946-interrupt_twice-turn-005,P0,True,OK,,0.6,0.2,50.1,20.8,0.037563,1,100.0,0,1,0.03211,220.0,0.0,9.708,output/autortc/20260216_071946/interrupt_twice/pre_rtc.wav,output/autortc/20260216_071946/interrupt_twice/post_rtc_reply.wav,2,0,0.1866,1860.0,153600,108960,0.7094,0.023215,0.016186,0,0.3085,0.334,-1.0,4.54,output/autortc/20260216_071946/interrupt_twice_agent.wav
noise_background,20260216_071946-noise_background-turn-006,P0,True,OK,,8.3,0.2,,21.7,0.01479,0,0.0,0,0,0.021444,200.0,0.0,14.4842,output/autortc/20260216_071946/noise_background/pre_rtc.wav,output/autortc/20260216_071946/noise_background/post_rtc_reply.wav,1,0,0.053,2620.0,21120,84000,3.9773,0.015121,0.019978,0,0.3701,0.2129,-1.0,3.5,output/autortc/20260216_071946/noise_background_agent.wav
noise_cough_laugh,20260216_071946-noise_cough_laugh-turn-007,P0,True,OK,,5.4,0.2,57.1,20.8,0.027449,0,0.0,0,0,0.027495,220.0,0.0,12.8931,output/autortc/20260216_071946/noise_cough_laugh/pre_rtc.wav,output/autortc/20260216_071946/noise_cough_laugh/post_rtc_reply.wav,2,0,0.1083,620.0,57600,42720,0.7417,0.013313,-0.002671,0,0.3085,0.334,-1.0,1.78,output/autortc/20260216_071946/noise_cough_laugh_agent.wav
stress_20_turns_01,20260216_071946-stress_20_turns_01-turn-008,P0,True,OK,,0.4,0.2,,20.7,0.024179,0,20.0,0,0,0.023034,220.0,0.0,14.3574,output/autortc/20260216_071946/stress_20_turns_01/pre_rtc.wav,output/autortc/20260216_071946/stress_20_turns_01/post_rtc_reply.wav,1,0,0.0849,2420.0,28800,86880,3.0167,0.011429,0.008714,0,0.3701,0.2129,-1.0,3.62,output/autortc/20260216_071946/stress_20_turns_01_agent.wav
stress_20_turns_02,20260216_071946-stress_20_turns_02-turn-009,P0,True,OK,,13.8,0.3,46.0,20.7,0.046935,0,0.0,0,0,0.036058,220.0,0.0,10.7498,output/autortc/20260216_071946/stress_20_turns_02/pre_rtc.wav,output/autortc/20260216_071946/stress_20_turns_02/post_rtc_reply.wav,2,0,0.1699,1660.0,136320,96480,0.7077,0.012991,0.020017,0,0.3085,0.334,-1.0,4.02,output/autortc/20260216_071946/stress_20_turns_02_agent.wav
quality_short_text_guard,20260216_071946-quality_short_text_guard-turn-010,P0,True,OK,,10.7,0.3,70.9,20.8,0.024038,1,160.0,0,1,0.026824,220.0,0.0,12.4125,output/autortc/20260216_071946/quality_short_text_guard/pre_rtc.wav,output/autortc/20260216_071946/quality_short_text_guard/post_rtc_reply.wav,1,0,0.2112,6420.0,38400,192480,5.0125,0.006077,0.091981,0,0.3701,0.2129,-1.0,8.02,output/autortc/20260216_071946/quality_short_text_guard_agent.wav
quality_continuation_trigger,20260216_071946-quality_continuation_trigger-turn-011,P0,True,OK,,11.6,0.3,,20.7,0.039424,1,60.0,0,1,0.030396,220.0,0.0,12.5054,output/autortc/20260216_071946/quality_continuation_trigger/pre_rtc.wav,output/autortc/20260216_071946/quality_continuation_trigger/post_rtc_reply.wav,2,0,0.1454,2320.0,44160,99840,2.2609,0.014819,0.039779,0,0.3085,0.334,-1.0,4.16,output/autortc/20260216_071946/quality_continuation_trigger_agent.wav
boom_trigger,20260216_071946-boom_trigger-turn-012,P1,True,OK,,4.7,0.2,,20.7,0.036706,0,0.0,0,0,0.035377,220.0,0.0,10.4007,output/autortc/20260216_071946/boom_trigger/pre_rtc.wav,output/autortc/20260216_071946/boom_trigger/post_rtc_reply.wav,2,0,0.1163,980.0,109440,132960,1.2149,0.02767,0.007651,1,1.9999,1.0,-1.0,5.54,output/autortc/20260216_071946/boom_trigger_agent.wav
speed_drift,20260216_071946-speed_drift-turn-013,P1,True,OK,,8.9,0.1,50.6,20.6,0.001224,0,0.0,0,0,0.016318,220.0,0.0,11.5378,output/autortc/20260216_071946/speed_drift/pre_rtc.wav,output/autortc/20260216_071946/speed_drift/post_rtc_reply.wav,1,0,0.0539,10400.0,67200,316800,4.7143,0.415984,-0.283567,0,0.4208,0.2929,-1.0,13.2,output/autortc/20260216_071946/speed_drift_agent.wav
distortion_sibilant,20260216_071946-distortion_sibilant-turn-014,P1,True,OK,,5.3,0.3,60.8,20.7,0.055915,2,140.0,0,2,0.030364,140.0,0.0,14.9879,output/autortc/20260216_071946/distortion_sibilant/pre_rtc.wav,output/autortc/20260216_071946/distortion_sibilant/post_rtc_reply.wav,2,0,0.1725,1340.0,53760,85920,1.5982,0.028467,0.011199,0,0.3798,0.1963,-1.0,3.58,output/autortc/20260216_071946/distortion_sibilant_agent.wav
stutter_long_pause,20260216_071946-stutter_long_pause-turn-015,P1,True,OK,,15.7,0.2,,20.7,0.033713,0,0.0,0,0,0.023132,100.0,0.0,13.3151,output/autortc/20260216_071946/stutter_long_pause/pre_rtc.wav,output/autortc/20260216_071946/stutter_long_pause/post_rtc_reply.wav,2,0,0.1461,1160.0,51840,79680,1.537,0.047938,0.067267,0,0.3622,0.3281,0.0,3.32,output/autortc/20260216_071946/stutter_long_pause_agent.wav
